done,Assignment,Assignment (german),Description,Description (german),Keywords,Keywords (german),fundamentals,Fundamentales,Format,Format german,Effort (min),Level,Skill,Credits,Learning Outcome,Learning Outcome (german),Hints,Hints (german),Assessment,Assessment (german),Video time,missing videos
yes,Nucleosynthesis,Nukleosynthese,"The chemical elements are in fact the sum of certain isotopes. The latter are formed by a range of processes, of which most still occur. These processes are called ›nucleosynthesis‹. Describe these various processes of nucleosynthesis and where these occur.","Die chemischen Elemente sind tatsächlich die Summe bestimmter Isotope. Letztere bilden sich in einer Reihe von Prozessen, von denen die meisten noch heute ablaufen. Diese Prozesse werden ›Nukleosynthese‹ genannt. Beschreibe diese verschiedenen Nukleosynthese-Prozesse, und wo diese stattfinden.","big bang, star, nucleosynthesis, spallation, chart of nuclides","urknall, stern, nukleosynthese, spallation, nuklid-karte",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),70,basic,2,2,Define and discriminate ›element‹ and ›isotope‹. Recall and distinguish between the various nucleosynthetic processes – and be able to provide an example for each. Roughly remember the isotope ranges formed in the various nucleosynthetic processes. Construct and describe the general layout of the chart of nuclides. Give an example for each of the three most abundant  nucleosynthetic processes in stars.,"Definiere und unterscheide ›Element‹ und ›Isotope‹. Erinnere und grenze die verschiedenen Nukleosynthese-Prozesse voneinander ab. Sei imstande Beispiele für jeden Prozess zu geben. Erinnere ungefähr, welche Isotope in den verschiedenen Nukleosynthese-Prozessen gebildet werden. Gib ein Beispiel für jeden der drei häufigsten Nukleosynthese-Prozesse in Sternen.","Nucleosynthesis – Big Bang,Nukleosynthese – Spallation,Nukleosynthese – Stellar,Nukleosynthese – r-s-p-Prozesse,Chart of Nuclides","Nukleosynthese – Big Bang,Nukleosynthese – Spallation,Nukleosynthese – Stellar,Nukleosynthese – r-s-p-Prozesse,Nuklid-Karte",summative,fasse zusamme,"5 Videos, 25 min",
yes,Stars and their Evolution,Sterne und deren Entwicklung,"The about 100.000 stars in our galaxy, as well as the billions others in our universe are highly diverse. Stars reach different ages and undergo various evolutions. Most importantly, they are a main source of element production (=nucleosynthesis). Describe the various stars, how these evolve, and how and when elements are formed in and around stars.","Die etwa 100.000 Sterne unserer Galaxie, wie auch die Milliarden restlichen unseres Universums sind sehr unterschiedlich. Sterne werden unterschiedlich alt und durchlaufen unterschiedliche Entwicklungen. Sie sind vor allem einer der Hauptorte der Element-Bildung (=Nukleosynthese). Beschreibe die unterschiedlichen Sterne, welche Entwicklung diese durchlaufen, und wie und wann sich Elemente in und um Sterne bilden.","star, Hertzsprung-Russel-Diagram, binding energy, nucleosynthesis","stern, Hertzsprung-Russel-Diagramm, bindungsenergie, nukleosynthese",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),70,basic,2,2,"Recall and describe the formation environment of stars in general and our Sun in particular. Explain how stars evolve. Illustrate the nucleosynthesis in the various stars. Relate the various nucleosynthetic processes (these need to be known) to the nuclide binding energies, as well as to the various types of stars.","Erinnere und beschreibe die Bildungsumgebungen von Sternen im Allgemeinen und unserer Sonne im Speziellen. Erkläre, wie sich Sterne entwicklen. Illustriere die Nukleosynthese in the verschiedenen Sternen. Setzte die unterschiedlichen Nukleosynthese-Prozesse (diese müssen bekannt sein) in Bezug zu den Nuklid-Bindungsenergien, sowie den verschiedenen Stern-Typen.","Modelling Star Formation from a Molecular Cloud,Comparing Star Sizes,Hertzsprung-Russell Diagram,Nuclide Binding Energies,Onion Shell Model of Stellar Nucleosynthesis","Modellierung der Stern-Bildung in Molekülwolken,Vergleich von Stern-Größen,Hertzsprung-Russell Diagramm,Bindungsenergien der Nuklide,Zwiebelschalen-Modell der Stellaren Nukleosynthese",summative,fasse zusamme,"5 Videos, 25 min",
yes,Formation and Evolution of our Solar System,Entstehung und Entwicklung unseres Sonnensystems,"Our Solar System had an eventful start. More and more extra-solar solar- and planetary systems are discovered, in various stages of their early formation. Using this information and together with the much more and much more detailed information from meteorites, it is then possible to reconstruct the formation and evolutionary phases of our Solar System. Describe the events in the first millions of years when planetary systems in general, and our Solar System in particular form and formed, respectively.","Unser Sonnensystem hatte einen bewegten Anfang. Es werden immer mehr extra-solare Sonnen- und Planetensystems in unterschiedlichen Stadien ihrer Frühentwicklung entdeckt. Gemeinsam mit den sehr viel mehr und detailreicheren Informationen aus Meteoriten kann die Entstehungs- und Entwicklungsphase unseres Sonnensystems rekonstruiert werden. Beschreibe, was in den ersten Millionen Jahren geschieht, wenn Planetensysteme allgemein, und unsere Sonnensystem mehr im speziellen, entstehen, bzw. entstand.","solar system, protoplanetary disk, planet, material growth","sonnensystem, protplanetare scheibe, planet, materialwachstum",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),70,basic,2,2,Summarise the evolutionary path of a protoplanetary disk from star formation to a planetary system. Relate the isotopic composition of meteorites to what we think happened in the initial stage of our solar system. Describe the growth steps from dust grains to planets.,"Fasse zusammen, wie sich eine protoplanetare Scheibe entwickelt, beginnend bei der Sternbildung, bis hin zu einem Planetensystem. Setzte die Isotopenzusammensetzung der Meteorite in Beziehung dazu, was vermutlich in der Initialphase unseres Sonnensystems geschah. Beschreibe die Wachstumsschritte von Staubkörnern zu Planeten.","Modelling Star Formation from a Molecular Cloud,ALMA Image of a Protoplanetary Disk,Formation of the Protoplanetary Disk,Initial Composition of the Protoplanetary Disk,Material Growth in the Early Solar System,Lifetimes of Protoplanetary Disks","Modellierung der Stern-Bildung in Molekülwolken,ALMA Bild einer Protoplanetaren Scheibe,Bildung der Protoplanetaren Scheibe,Anfangszusammensetzung der Protoplanetaren Scheibe,Materialwachstum im frühen Sonnensystem,Lebensdauer Protoplanetarer Scheiben",summative,fasse zusamme,"6 Videos, 18 min",
yes,Origin and Find Locations of Meteorites,Herkunft und Fundgebiete der Meteorite,"Meteoroids – rocks, travelling through the Solar System – continuously collide with Earth, cross Earth’s as meteors, and finally land on the Earth’s surface as meteorites. Find out and describe from where meteorites originate, how we know this, what process ultimately deflects meteorites towards Earth, how long meteorites travel through space – but also, where meteorites are most easily found.","Meteoroide – Steine, welche durchs Sonnensystem reisen – kollidieren regelmäßig mit der Erde, durchkreuzen als Meteore die Erdatmosphäre, und landen schließlich als Meteorite auf der Erdoberfläche. Finde heraus und beschreibe woher Meteorite tatsächlich stammen, woher wir das wissen, welcher Prozess Meteorite in Richtung Erde lenkt, wie lange Meteorite dabei durchs All fliegen – aber auch, wo wir Meteorite am Häufigsten finden und suchen, und warum genau dort.","meteorite, origin, Kirkwood, exposure age, desert, antarctica","meteorit, ursprung, Kirkwood, bestrahlungsalter, wüste, antarktis",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),60,basic,2,2,Illustrate how we know meteorites originate from the asteroid belt. Explain how meteorites arrive at Earth crossing orbits. Recall the various travelling times of meteorites from asteroids to Earth. Summarise the meteorite find locations and state why meteorites are primarily found there.,"Zeige wir wir wissen, dass Meteorite aus dem Asteroidengürtel stammen. Erkläre wie Meteorite auf erdkreuzende Bahnen gelangen. Rufe Dir die unterschiedlichen Reisezeiten der Meteorite von den Asteroiden zur Erde ins Gedächtnis. Fasse die Fundorte der Meteorite zusammen und lege dar, weshalb diese primär dort gefunden werden.","Triangulated Meteorite Trajectories,Kirkwood Gaps,Cosmic Ray Exposure Ages of Meteorites,Find Locations of Meteorites,Meteorite Concentration during Antarctic Ice Movement,Terrestrial Age of Meteorites","Triangulierte Meteoriten-Trajektorien,Kirkwood Lücken,Kosmisches Bestrahlungsalter der Meteorite,Fundgebiete der Meteorite,Meteoriten-Konzentration durch Eisbewegung in der Antarktis,Terrestrisches Alter der Meteorite",summative,fasse zusamme,"6 Videos, 15+? min",Terrestrisches Alter der Meteorite
yes,Asteroids and their Origin,Asteroide und ihre Herkunft,"Asteroids are small planetary bodies that formed the planets. Meteorites originate from asteroids. This means, asteroids are older than planets, and meteorites witnessed the earliest events in our Solar System. Here, we solely focus asteroids. Describe, where asteroids are located in the Solar System, how they look like, how many there are, where and how they orbit the Sun, and how we know from which asteroids which meteorites originate.","Asteroide sind kleine Körper, aus denen sich die Planeten gebildet haben. Meteorite stammen von den Asteroiden. D.h., Asteroide sind älter als die Planeten, und Meteorite Zeuge der frühsten Ereignisse im Sonnensystem. Hier geht es nur um die Asteroiden selbst. Beschreibe, wo im Sonnensystem diese sich befinden, wie sie aussehen, wie viele es gibt, wie und wo sie die Sonne umlaufen, und wie wir wissen, von welchen Asteroiden welche Meteorite stammen.","asteroids, location, orbit, appearance, spectra","asteroide, ort, orbit, aussehen, spektra",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),50,basic,2,2,"Show the general location and orbits of asteroids in our Solar System. Describe the overall appearances of asteroids. Relate spectral features of asteroids to meteorites. Ability to detail the difference between un/differentiated asteroids. Vocabulary like element partititon, siderophile/lithophile elements, source of (not) primitive meteorites, chronology. For example: (1) differences: petrology, petrography, chemical composition, age, size, thermal history, core, mantle, primitve. (2) causes: heating, short lived radionuclides, differentiation, liquid immiscibility. (3) similarities: age, accretion from precursors.","Zeige wo im Sonnensystem sich die Asteroide befinden, und wie sie die Sonne umlaufen. Beschreibe das allgemeine Aussehen der Asteroide. Setze die spektralen Eigenschaften von Asteroiden in Bezug zu Meteoriten.","The Asteroid Belt,Distribution of Asteroid Types,Asteroid Orbital Inclinations,Image Examples of Asteroids,Reflection-Spectra of Asteroids and Meteorites","Der Asteroiden-Gürtel,Verteilung der Asteroiden-Typen,Inklination der Asteroiden-Orbits,Bild-Beispiele von Asteroiden,Reflexions-Spektren von Asteroiden und Meteoriten",summative,fasse zusamme,"5 Videos, 10+? min",
yes,Asteroid Cooling Rates,Abkühlraten der Asteroide,"Differentiated, but a als some undifferentiated asteroids were heated to high, but also intermediate temperatures, respectively. The cooling history of asteroids can be reconstructed using their chronology or structures in iron meteorites. Learn about cooling rates and times of asteroids, and recall and describe these and how these are determined.","Differenzierte, aber teilweise auch undifferenzierte Asteroide wurde stark bis mäßig aufgeheizt. Die Abkühlungsgeschichte von Asteroiden kann über Datierungen oder Strukturen in Eisen-Meteoriten bestimmt werden. Informiere Dich über Abkühlraten und -zeiten von Asteroiden, nenne und beschreibe diese, bzw. wie diese bestimmt werden.","asteroid, cooling, rate, time, iron, chronology","asteroid, abkühlung, rate, zeit, eisen, chronologie",optional,Optional,Brief Video (3-5 minutes) or Essay (100-200 words),Brief Video (3-5 minutes) or Essay (100-200 words),45,basic,2,1,"Recall and describe cooling rates and times of Asteroids and iron meteorites. Recall the important phase diagram for iron meteorites, including its parameters, and be able to describe a typical cooling path in this phase diagram.","Kenntnis und Erklärung über Abkühlraten und -dauern von Asteroiden und Eisen-Meteoriten. Kenntnis des wichtigen Phasendiagramms für Eisen-Meteorit, inklusive seiner Elemente, sowie Beschreibung einen typischen Abkühlpfad darin.","Chronology of Parent Body Cooling,Fe-Ni Phase Diagram,Overview of Iron Meteorite Cooling Rates,Iron Meteorite Cooling Rates Using Island Widths","Chronologie der Abkühlung von Mutterkörpern,Fe-Ni Phasen-Diagramm,Übersicht der Abkühlraten von Eisen-Meteoriten,Eisen-Meteorit Abkühlraten aus Insel-Breiten",summative,fasse zusamme,"4 Videos, 11+? min",
yes,Structure and Texture of Meteorites and Asteroids,Aufbau und Struktur der Meteorite und Asteroide,"Meteorites are fragments from asteroids. Few asteroids have not be changed since they formed. In this case, the material in meteorites is primitive, unprocessed material from the protoplanetary disk. However, many asteroids were heated or collided with other asteroids. Learn, how asteroids can be structured as a result of their individual evolution. Further, learn which general meteorite types exist with respect to their parent body evolution, and how these meteorites look like today.","Meteorite sind Bruchstücke von Asteroiden. Einige Asteroide wurden seit ihrer Bildung nicht weiter verändert. In dem Fall enthalten Meteoriten primitives, unprozessiertes Material aus der protoplanetaren Scheibe. Viele Asteroide wurden jedoch aufgeheizt oder kollidierten mit anderen Asteroiden. Informiere Dich, wie Asteroide aufgrund ihrer eigenen Evolution aufgebaut sein können. Lerne außerdem, welche generellen Meteoriten-Typen es infolgedessen gibt, und wie diese heute aussehen.","asteroid, meteorite, differentiation, classification, shock, petrology, type","asteroid, meteorit, differentation, klassifikation, schock, petrologie, typ",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),50,basic,2,2,"Describe the possible structures of asteroids. Explain why asteroids can be heated, and what this does to an asteroid. Explain the various secondary processes that can change an asteroid, and  what macro- and microscopic changes these cause. Explain the connection between asteroids and the various meteorite types. Describe how meteorite melt crusts appear, and how and when these are formed.","Beschreibe wie Asteroide aufgebaut sein können. Erkläre, warum sich Asteroide aufheizen können, und was infolgedessen geschehen kann. Erkläre die verschiedenen Prozesse welche die Asteroide sekundär überprägen, und zu welchen makro- und mikroskopischen Veränderungen das führt. Erkläre den Zusammenhang zwischen Asteroiden und den unterschiedlichen Meteoriten-Typen. Beschreibe wie Meteoriten-Schmelzkrusten aussehen, und wie und wann sich diese bilden.","Possible Structures of Parent Bodies,Differentiation of Planetesimals,Hands on Meteorites,Images of Meteorite Hand Specimens,Meteorite Shock Classification","Möglicher Aufbau von Mutter-Körpern,Differentiation von Planetesimalen,Meteorite als Handstücke,Bilder von Meteoriten-Handstücken,Der Petrologische Typ,Meteoriten Schock-Klassifikation",summative,fasse zusamme,"7 Videos, 21.5+? min",
yes,The Various Meteorite Classes,Die verschiedenen Klassen der Meteorite,"The various meteorites differ in many of their properties. Have a look how meteorites are classified, and which important criteria are used for this. The meteorite classification is further directly linked to their parent bodies. Understand this link.","Meteorite unterscheiden sich in vielen Eigenschaften. Schaue Dir an, wie Meteorite klassifiziert werden, und welche Kriterien dafür wichtig sind. Die Meteoriten-Klassifikation hat außerdem einen direkten Bezug zu deren Mutterkörper. Verstehe diesen Zusammenhang.","classification, meteorite, asteroid","klassifikation, meteorit, asteroid",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),60,basic,2,2,"State the criteria for meteorite classification. Draw the general scheme of meteorite classification down to about the clan-level, including their relative abundances. Explain the relation between meteorite classification with the structure and texture of their parent bodies.","Nenne die Kriterien, um Meteorite zu klassifizieren. Zeichne die allgemeine Klassifikation der Meteorite bis etwa auf Clan-Ebene, inklusive deren relativer Häufigkeiten. Erkläre, wie die Klassifikation der Meteorite mit dem Aufbau und der Struktur ihrer Mutterkörper zusammen hängt.","Meteorite Classification,Classification of Ordinary Chondrites,Classification of Iron Meteorites,Abundances of the Various Meteorite Classes","Klassifikation der Meteorite,Klassifikation der Gewöhnlichen Chondrite,Klassifikation der Eisen-Meteorite,Häufigkeiten der verschiedenen Meteoriten-Klassen",summative,fasse zusamme,"4 Videos, 19 min",
yes,Presenting elements and their compositions,Darstellung der Elemente und deren Zusammensetzungen,The element composition of meteorites and their components are presented and determined in various ways. Learn and understand two of the frequently used techniques: normalisation und modal recombination.,"Die Element-Zusammensetzung von Meteoriten und der Komponenten wird auf unterschiedliche Weise dargestellt und bestimmt. Lerne und verstehe, wie zwei der häufigsten Techniken funktionieren: Normalisierung und Modale Rekombination.","presentation, element, chemical, normalisation, modal recombination","darstellung, element, chemisch, normalisierung, modale rekombination",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),50,basic,2,2,"Confidently apply normalisation to e.g., present element compositions of bulk meteorites in category plots. Confidently apply modal recombination to e.g., calculate bulk element compositions of chondrules.","Wende die Normalisierung von sicher an, um zB die Element-Zusammensetzungen von Gesamt-Meteoriten in Kategorien-Diagrammen darzustellen. Wende die modale Rekombination sicher an, um zB die Gesamt-Element-Zusammensetzung von Chondren zu berechnen.","Normalisation,Modal Recombination with Density Correction","Normalisierung,Modale Rekombination mit Dichte-Korrektur",summative,fasse zusamme,"2 Videos, 18 min",
yes,The chemical elements and their cosmochemical character,Die chemischen Elemente und ihr kosmochemischer Charakter,"The chemical elements behave differently, depending on e.g., ambient pressure or temperature. Various element characteristics have been derived from this and in combination with thermodynamic calculations. Learn about the cosmochemical classification of the elements from tables and the Cosmochemical Periodic Table of the Elements. Further, have a look which elements are primarily concentrates in which of the phases and components in meteorites. Print the Cosmochemical Periodic Table of the Elements for your personal records.","Die chemischen Elemente verhalten sich unterschiedlich, je nach zB Umgebungs-Druck oder -Temperatur. In Kombination mit thermodynamischen Rechnungen wurden daraus unterschiedliche Eigenschaften der Elemente abgeleitet. Informiere Dich über die kosmoschemische Klassifikation der Elemente anhand von Tabellen und dem kosmochemischen Periodensystem. Schaue Dir weiter an, welche chemischen Elemente sich in welche Phasen und Komponenten der Meteorite verteilen. Drucke Dir das kosmoschemische PSE für Deine Unterlagen aus.","condensation, gas","Kondensation, Gas",fundamentals,Fundamentales,Short Video (5-10 minutes) or Essay (300-600 words),Short Video (5-10 minutes) or Essay (300-600 words),50,basic,2,2,"Explain the 50% condensation temperature. Knowledge of the various cosmochemical characteristics of the elements and their relationship to the condensation temperature. Recall the 10 most abundant elements in meteorites and their cosmochemical character. Knowledge, which elements are abundant in which mineral. Demonstrate the relationship between element/mineral and condensation temperature.","Erkläre die 50% Kondensationstemperatur. Kenntnis der verschiedenen, kosmochemischen Charakteristika der Elemente und deren Verbindung zur Kondensationstemperatur. Erinnern der 10 häufigsten Elemente in Meteoriten mit ihrem kosmochemischen Charakter. Kenntnis welche Elemente in welchen Mineralen häufig sind. Darstellung des Zusammenhangs zwischen Element/Mineral und Kondensationstemperatur.","Cosmochemical Periodic Table of the Elements,Cosmochemical Characteristics of the Elements,Fundamental Properties of Chondrites","Kosmochemisches Periodensystem der Elemente,Kosmochemische Element-Eigenschaften,Generelle Eigenschaften der Elemente",summative,fasse zusamme,"3 Videos, 15 min",
