  
Weight percent  	      Group : 210830        	  Sample : 210830_0013_QNT  	 Page 	  1 	  
  
   No. 	   SiO2  	   TiO2  	   Al2O3 	   FeO   	   MnO   	   MgO   	   CaO   	   Na2O  	   K2O   	   P2O5  	   Cr2O3 	   NiO   	  Total  	Comment   
  143  	   147.00	   228.00	   160.00	   213.00	   289.00	    89.00	   174.00	   134.00	   123.00	   352.00	   375.00	   366.00		GProbe Mitte Grid 010x011 Grid 020x021 
  145  	   139.00	   226.00	   149.00	   215.00	   290.00	    87.00	   169.00	   141.00	   124.00	   362.00	   353.00	   357.00		GProbe Mitte Grid 010x011 Grid 020x021 
  146  	   141.00	   224.00	   156.00	   206.00	   291.00	    86.00	   174.00	   138.00	   126.00	   370.00	   365.00	   359.00		GProbe Mitte Grid 010x011 Grid 020x021 
  148  	   129.00	   180.00	   195.00	   208.00	   290.00	    87.00	   174.00	   126.00	    85.00	   348.00	   354.00	   377.00		GProbe Mitte Grid 010x011 Grid 020x021 
  149  	   132.00	   182.00	   189.00	   207.00	   289.00	    90.00	   168.00	   121.00	    86.00	   353.00	   365.00	   383.00		GProbe Mitte Grid 010x011 Grid 020x021 
  151  	   141.00	   180.00	   193.00	   225.00	   289.00	    90.00	   170.00	   131.00	    85.00	   350.00	   364.00	   372.00		GProbe Mitte Grid 010x011 Grid 020x021 
  152  	   131.00	   182.00	   197.00	   220.00	   293.00	    87.00	   169.00	   126.00	    86.00	   357.00	   363.00	   379.00		GProbe Mitte Grid 010x011 Grid 020x021 
  154  	   127.00	   180.00	   201.00	   207.00	   291.00	    86.00	   173.00	   325.00	   106.00	   346.00	   376.00	   379.00		GProbe Mitte Grid 010x011 Grid 020x021 
  155  	   137.00	   177.00	   194.00	   205.00	   288.00	    88.00	   169.00	   135.00	    94.00	   364.00	   358.00	   369.00		GProbe Mitte Grid 010x011 Grid 020x021 
  157  	   141.00	   180.00	   191.00	   218.00	   288.00	    87.00	   173.00	   179.00	    90.00	   354.00	   370.00	   383.00		GProbe Mitte Grid 010x011 Grid 020x021 
  158  	   137.00	   181.00	   191.00	   237.00	   293.00	    91.00	   172.00	   153.00	    91.00	   356.00	   357.00	   372.00		GProbe Mitte Grid 010x011 Grid 020x021 
  160  	   134.00	   181.00	   199.00	   222.00	   293.00	    90.00	   175.00	   147.00	   108.00	   358.00	   357.00	   374.00		GProbe Mitte Grid 010x011 Grid 020x021 
  161  	   135.00	   185.00	   191.00	   229.00	   291.00	    92.00	   173.00	   172.00	    96.00	   340.00	   354.00	   388.00		GProbe Mitte Grid 010x011 Grid 020x021 
  163  	   131.00	   178.00	   197.00	   225.00	   284.00	    91.00	   174.00	   146.00	    89.00	   356.00	   373.00	   375.00		GProbe Mitte Grid 010x011 Grid 020x021 
  164  	   138.00	   175.00	   192.00	   214.00	   291.00	    88.00	   174.00	   162.00	    91.00	   353.00	   353.00	   378.00		GProbe Mitte Grid 010x011 Grid 020x021 
  166  	   130.00	   178.00	   192.00	   215.00	   292.00	    85.00	   170.00	   163.00	    93.00	   353.00	   371.00	   378.00		GProbe Mitte Grid 010x011 Grid 020x021 
  167  	   134.00	   183.00	   194.00	   216.00	   298.00	    90.00	   171.00	   158.00	    97.00	   358.00	   365.00	   378.00		GProbe Mitte Grid 010x011 Grid 020x021 
  169  	   140.00	   180.00	   195.00	   216.00	   290.00	    88.00	   174.00	   190.00	   112.00	   345.00	   373.00	   384.00		GProbe Mitte Grid 010x011 Grid 020x021 
  170  	   137.00	   174.00	   196.00	   210.00	   295.00	    93.00	   176.00	   163.00	    97.00	   360.00	   368.00	   384.00		GProbe Mitte Grid 010x011 Grid 020x021 
  172  	   139.00	   176.00	   199.00	   222.00	   294.00	    87.00	   173.00	   174.00	   100.00	   357.00	   368.00	   373.00		GProbe Mitte Grid 010x011 Grid 020x021 
  173  	   135.00	   189.00	   192.00	   204.00	   289.00	    89.00	   172.00	   200.00	    95.00	   353.00	   367.00	   378.00		GProbe Mitte Grid 010x011 Grid 020x021 
  175  	   124.00	   179.00	   197.00	   206.00	   285.00	    89.00	   174.00	   203.00	    94.00	   344.00	   371.00	   376.00		GProbe Mitte Grid 010x011 Grid 020x021 
  176  	   131.00	   178.00	   201.00	   206.00	   296.00	    93.00	   171.00	   176.00	    93.00	   346.00	   354.00	   373.00		GProbe Mitte Grid 010x011 Grid 020x021 
  178  	   133.00	   184.00	   186.00	   218.00	   288.00	    89.00	   170.00	   150.00	    91.00	   357.00	   371.00	   377.00		GProbe Mitte Grid 010x011 Grid 020x021 
  179  	   130.00	   172.00	   189.00	   243.00	   290.00	    92.00	   171.00	   197.00	    99.00	   362.00	   370.00	   368.00		GProbe Mitte Grid 010x011 Grid 020x021 
  181  	   134.00	   182.00	   194.00	   225.00	   290.00	    91.00	   173.00	   197.00	    97.00	   345.00	   358.00	   372.00		GProbe Mitte Grid 010x011 Grid 020x021 
  182  	   130.00	   182.00	   196.00	   204.00	   287.00	    90.00	   174.00	   160.00	    94.00	   337.00	   360.00	   389.00		GProbe Mitte Grid 010x011 Grid 020x021 
  184  	   139.00	   181.00	   191.00	   239.00	   295.00	    88.00	   171.00	   201.00	    95.00	   359.00	   370.00	   373.00		GProbe Mitte Grid 010x011 Grid 020x021 
  185  	   135.00	   171.00	   197.00	   229.00	   297.00	    89.00	   175.00	   229.00	   103.00	   349.00	   363.00	   387.00		GProbe Mitte Grid 010x011 Grid 020x021 
  187  	   137.00	   181.00	   191.00	   222.00	   293.00	    88.00	   174.00	   161.00	    87.00	   350.00	   374.00	   377.00		GProbe Mitte Grid 010x011 Grid 020x021 
  188  	   133.00	   178.00	   199.00	   211.00	   286.00	    95.00	   172.00	   140.00	    87.00	   365.00	   365.00	   381.00		GProbe Mitte Grid 010x011 Grid 020x021 
  190  	   134.00	   189.00	   190.00	   217.00	   292.00	    87.00	   174.00	   159.00	    86.00	   361.00	   368.00	   379.00		GProbe Mitte Grid 010x011 Grid 020x021 
  191  	   134.00	   171.00	   193.00	   213.00	   296.00	    89.00	   168.00	   164.00	    87.00	   360.00	   359.00	   374.00		GProbe Mitte Grid 010x011 Grid 020x021 
  193  	   122.00	   176.00	   190.00	   220.00	   289.00	    88.00	   172.00	   140.00	    89.00	   350.00	   369.00	   374.00		GProbe Mitte Grid 010x011 Grid 020x021 
  194  	   134.00	   176.00	   191.00	   222.00	   293.00	    90.00	   172.00	   147.00	    90.00	   352.00	   352.00	   382.00		GProbe Mitte Grid 010x011 Grid 020x021 
  196  	   132.00	   182.00	   195.00	   207.00	   293.00	    86.00	   167.00	   160.00	    91.00	   367.00	   372.00	   368.00		GProbe Mitte Grid 010x011 Grid 020x021 
  197  	   131.00	   173.00	   189.00	   223.00	   288.00	    88.00	   167.00	   184.00	    95.00	   344.00	   368.00	   376.00		GProbe Mitte Grid 010x011 Grid 020x021 
  199  	   141.00	   186.00	   192.00	   205.00	   287.00	    89.00	   168.00	   168.00	    87.00	   348.00	   346.00	   379.00		GProbe Mitte Grid 010x011 Grid 020x021 
  200  	   139.00	   177.00	   182.00	   207.00	   294.00	    87.00	   169.00	   170.00	    95.00	   340.00	   358.00	   365.00		GProbe Mitte Grid 010x011 Grid 020x021 
  202  	   136.00	   175.00	   192.00	   193.00	   291.00	    86.00	   169.00	   157.00	    87.00	   344.00	   361.00	   373.00		GProbe Mitte Grid 010x011 Grid 020x021 
  203  	   140.00	   175.00	   190.00	   210.00	   291.00	    90.00	   168.00	   138.00	    88.00	   354.00	   357.00	   368.00		GProbe Mitte Grid 010x011 Grid 020x021 
  204  	   141.00	   177.00	   194.00	   215.00	   292.00	    88.00	   168.00	   164.00	    88.00	   347.00	   368.00	   370.00		GProbe Mitte Grid 010x011 Grid 020x021 
  205  	   144.00	   171.00	   193.00	   212.00	   286.00	    86.00	   167.00	   207.00	    96.00	   344.00	   353.00	   377.00		GProbe Mitte Grid 010x011 Grid 020x021 
  206  	   127.00	   183.00	   192.00	   204.00	   298.00	    86.00	   167.00	   137.00	    90.00	   355.00	   368.00	   373.00		GProbe Mitte Grid 010x011 Grid 020x021 
  208  	   138.00	   182.00	   196.00	   202.00	   291.00	    91.00	   171.00	   183.00	    90.00	   353.00	   361.00	   372.00		GProbe Mitte Grid 010x011 Grid 020x021 
  209  	   127.00	   180.00	   185.00	   209.00	   292.00	    90.00	   167.00	   168.00	    89.00	   354.00	   369.00	   373.00		GProbe Mitte Grid 010x011 Grid 020x021 
  211  	   137.00	   179.00	   201.00	   187.00	   293.00	    85.00	   172.00	   152.00	    87.00	   343.00	   350.00	   373.00		GProbe Mitte Grid 010x011 Grid 020x021 
  212  	   139.00	   181.00	   189.00	   209.00	   288.00	    89.00	   171.00	   143.00	    89.00	   341.00	   352.00	   372.00		GProbe Mitte Grid 010x011 Grid 020x021 
  214  	   139.00	   180.00	   193.00	   217.00	   294.00	    89.00	   171.00	   137.00	    91.00	   365.00	   351.00	   366.00		GProbe Mitte Grid 010x011 Grid 020x021 
  215  	   131.00	   167.00	   195.00	   213.00	   286.00	    90.00	   163.00	   184.00	    89.00	   357.00	   360.00	   361.00		GProbe Mitte Grid 010x011 Grid 020x021 
  217  	   133.00	   184.00	   194.00	   213.00	   284.00	    88.00	   165.00	   180.00	   100.00	   356.00	   339.00	   370.00		GProbe Mitte Grid 010x011 Grid 020x021 
  218  	   133.00	   178.00	   190.00	   222.00	   289.00	    86.00	   168.00	   157.00	    92.00	   366.00	   363.00	   376.00		GProbe Mitte Grid 010x011 Grid 020x021 
  220  	   129.00	   178.00	   192.00	   228.00	   287.00	    89.00	   165.00	   141.00	    86.00	   346.00	   349.00	   367.00		GProbe Mitte Grid 010x011 Grid 020x021 
  221  	   134.00	   188.00	   188.00	   219.00	   288.00	    89.00	   170.00	   134.00	    92.00	   352.00	   352.00	   377.00		GProbe Mitte Grid 010x011 Grid 020x021 
  223  	   142.00	   180.00	   195.00	   220.00	   292.00	    85.00	   167.00	   149.00	    89.00	   352.00	   347.00	   370.00		GProbe Mitte Grid 010x011 Grid 020x021 
  224  	   138.00	   180.00	   192.00	   211.00	   288.00	    87.00	   169.00	   136.00	    87.00	   343.00	   355.00	   367.00		GProbe Mitte Grid 010x011 Grid 020x021 
  226  	   136.00	   175.00	   183.00	   195.00	   291.00	    86.00	   169.00	   155.00	    87.00	   354.00	   351.00	   379.00		GProbe Mitte Grid 010x011 Grid 020x021 
  227  	   134.00	   170.00	   189.00	   210.00	   291.00	    87.00	   167.00	   142.00	    89.00	   350.00	   374.00	   374.00		GProbe Mitte Grid 010x011 Grid 020x021 
  229  	   125.00	   179.00	   195.00	   215.00	   290.00	    90.00	   168.00	   145.00	    88.00	   346.00	   355.00	   373.00		GProbe Mitte Grid 010x011 Grid 020x021 
  230  	   137.00	   182.00	   194.00	   227.00	   288.00	    88.00	   167.00	   142.00	    85.00	   347.00	   361.00	   365.00		GProbe Mitte Grid 010x011 Grid 020x021 
  232  	   138.00	   176.00	   188.00	   223.00	   287.00	    87.00	   168.00	   144.00	    87.00	   346.00	   361.00	   375.00		GProbe Mitte Grid 010x011 Grid 020x021 
  233  	   132.00	   181.00	   189.00	   216.00	   293.00	    88.00	   168.00	   138.00	    86.00	   357.00	   357.00	   362.00		GProbe Mitte Grid 010x011 Grid 020x021 
  235  	   137.00	   185.00	   188.00	   224.00	   286.00	    89.00	   169.00	   140.00	    87.00	   352.00	   358.00	   369.00		GProbe Mitte Grid 010x011 Grid 020x021 
  236  	   131.00	   186.00	   193.00	   190.00	   288.00	    90.00	   172.00	   134.00	    87.00	   335.00	   357.00	   372.00		GProbe Mitte Grid 010x011 Grid 020x021 
  238  	   134.00	   175.00	   192.00	   231.00	   291.00	    87.00	   167.00	   139.00	    90.00	   342.00	   355.00	   366.00		GProbe Mitte Grid 010x011 Grid 020x021 
  239  	   132.00	   180.00	   189.00	   223.00	   287.00	    88.00	   169.00	   141.00	    88.00	   363.00	   361.00	   378.00		GProbe Mitte Grid 010x011 Grid 020x021 
  241  	   140.00	   183.00	   191.00	   204.00	   283.00	    86.00	   169.00	   148.00	    88.00	   348.00	   349.00	   357.00		GProbe Mitte Grid 010x011 Grid 020x021 
  242  	   137.00	   174.00	   195.00	   210.00	   291.00	    89.00	   166.00	   139.00	    89.00	   335.00	   350.00	   364.00		GProbe Mitte Grid 010x011 Grid 020x021 
  244  	   133.00	   175.00	   195.00	   196.00	   292.00	    88.00	   171.00	   135.00	    83.00	   353.00	   367.00	   369.00		GProbe Mitte Grid 010x011 Grid 020x021 
  245  	   134.00	   181.00	   191.00	   198.00	   291.00	    91.00	   170.00	   131.00	    86.00	   357.00	   364.00	   369.00		GProbe Mitte Grid 010x011 Grid 020x021 
  247  	   130.00	   173.00	   184.00	   223.00	   287.00	    90.00	   168.00	   128.00	    88.00	   330.00	   353.00	   362.00		GProbe Mitte Grid 010x011 Grid 020x021 
  248  	   126.00	   183.00	   190.00	   200.00	   295.00	    87.00	   168.00	   133.00	    87.00	   342.00	   348.00	   359.00		GProbe Mitte Grid 010x011 Grid 020x021 
  250  	   136.00	   175.00	   194.00	   224.00	   292.00	    85.00	   165.00	   136.00	    86.00	   334.00	   350.00	   362.00		GProbe Mitte Grid 010x011 Grid 020x021 
  251  	   133.00	   174.00	   187.00	   223.00	   290.00	    87.00	   168.00	   141.00	    87.00	   344.00	   358.00	   363.00		GProbe Mitte Grid 010x011 Grid 020x021 
  253  	   133.00	   177.00	   192.00	   205.00	   287.00	    86.00	   171.00	   149.00	    87.00	   353.00	   366.00	   359.00		GProbe Mitte Grid 010x011 Grid 020x021 
  254  	   132.00	   174.00	   192.00	   223.00	   283.00	    87.00	   169.00	   136.00	    85.00	   351.00	   351.00	   371.00		GProbe Mitte Grid 010x011 Grid 020x021 
  256  	   127.00	   173.00	   189.00	   237.00	   284.00	    87.00	   168.00	   133.00	    87.00	   337.00	   352.00	   371.00		GProbe Mitte Grid 010x011 Grid 020x021 
  257  	   132.00	   181.00	   188.00	   196.00	   284.00	    86.00	   169.00	   131.00	    87.00	   348.00	   342.00	   365.00		GProbe Mitte Grid 010x011 Grid 020x021 
  259  	   134.00	   182.00	   183.00	   227.00	   288.00	    87.00	   166.00	   138.00	    84.00	   346.00	   355.00	   364.00		GProbe Mitte Grid 010x011 Grid 020x021 
  260  	   133.00	   178.00	   188.00	   221.00	   282.00	    87.00	   167.00	   130.00	    87.00	   345.00	   361.00	   366.00		GProbe Mitte Grid 010x011 Grid 020x021 
  262  	   140.00	   169.00	   190.00	   221.00	   289.00	    86.00	   169.00	   139.00	    89.00	   348.00	   364.00	   366.00		GProbe Mitte Grid 010x011 Grid 020x021 
  263  	   131.00	   173.00	   187.00	   205.00	   291.00	    89.00	   166.00	   130.00	    83.00	   340.00	   366.00	   369.00		GProbe Mitte Grid 010x011 Grid 020x021 
  265  	   130.00	   171.00	   191.00	   218.00	   290.00	    89.00	   168.00	   139.00	    88.00	   351.00	   356.00	   367.00		GProbe Mitte Grid 010x011 Grid 020x021 
  266  	   131.00	   174.00	   187.00	   224.00	   292.00	    90.00	   165.00	   133.00	    86.00	   336.00	   341.00	   365.00		GProbe Mitte Grid 010x011 Grid 020x021 
  268  	   136.00	   177.00	   188.00	   221.00	   288.00	    87.00	   164.00	   136.00	    85.00	   347.00	   358.00	   375.00		GProbe Mitte Grid 010x011 Grid 020x021 
  269  	   139.00	   177.00	   191.00	   206.00	   288.00	    88.00	   169.00	   145.00	    88.00	   334.00	   346.00	   372.00		GProbe Mitte Grid 010x011 Grid 020x021 
  271  	   131.00	   172.00	   190.00	   232.00	   287.00	    88.00	   167.00	   135.00	    87.00	   346.00	   349.00	   375.00		GProbe Mitte Grid 010x011 Grid 020x021 
  272  	   129.00	   181.00	   191.00	   221.00	   292.00	    85.00	   169.00	   139.00	    88.00	   339.00	   352.00	   362.00		GProbe Mitte Grid 010x011 Grid 020x021 
  274  	   125.00	   176.00	   189.00	   217.00	   287.00	    88.00	   168.00	   136.00	    87.00	   339.00	   343.00	   358.00		GProbe Mitte Grid 010x011 Grid 020x021 
  275  	   136.00	   184.00	   184.00	   211.00	   294.00	    87.00	   166.00	   132.00	    88.00	   347.00	   356.00	   370.00		GProbe Mitte Grid 010x011 Grid 020x021 
  277  	   132.00	   178.00	   195.00	   219.00	   287.00	    88.00	   166.00	   139.00	    90.00	   338.00	   349.00	   368.00		GProbe Mitte Grid 010x011 Grid 020x021 
  278  	   130.00	   169.00	   185.00	   218.00	   293.00	    88.00	   172.00	   134.00	    86.00	   352.00	   357.00	   353.00		GProbe Mitte Grid 010x011 Grid 020x021 
  280  	   135.00	   181.00	   189.00	   210.00	   293.00	    87.00	   168.00	   132.00	    88.00	   340.00	   350.00	   363.00		GProbe Mitte Grid 010x011 Grid 020x021 
  281  	   133.00	   175.00	   189.00	   244.00	   288.00	    89.00	   170.00	   140.00	    86.00	   360.00	   358.00	   378.00		GProbe Mitte Grid 010x011 Grid 020x021 
  283  	   143.00	   177.00	   192.00	   232.00	   291.00	    87.00	   166.00	   125.00	    88.00	   361.00	   350.00	   363.00		GProbe Mitte Grid 010x011 Grid 020x021 
  284  	   136.00	   176.00	   188.00	   208.00	   288.00	    88.00	   169.00	   126.00	    91.00	   333.00	   357.00	   370.00		GProbe Mitte Grid 010x011 Grid 020x021 
  286  	   136.00	   184.00	   196.00	   231.00	   290.00	    88.00	   168.00	   126.00	    86.00	   346.00	   353.00	   364.00		GProbe Mitte Grid 010x011 Grid 020x021 
  287  	   136.00	   179.00	   184.00	   212.00	   289.00	    87.00	   170.00	   131.00	    84.00	   351.00	   349.00	   369.00		GProbe Mitte Grid 010x011 Grid 020x021 
  289  	   127.00	   173.00	   182.00	   200.00	   289.00	    87.00	   167.00	   120.00	    87.00	   348.00	   336.00	   361.00		GProbe Mitte Grid 010x011 Grid 020x021 
  290  	   135.00	   179.00	   182.00	   235.00	   286.00	    88.00	   167.00	   130.00	    85.00	   360.00	   358.00	   377.00		GProbe Mitte Grid 010x011 Grid 020x021 
  292  	   142.00	   169.00	   194.00	   223.00	   293.00	    86.00	   171.00	   136.00	    86.00	   349.00	   349.00	   363.00		GProbe Mitte Grid 010x011 Grid 020x021 
  293  	   132.00	   179.00	   188.00	   223.00	   287.00	    88.00	   170.00	   123.00	    84.00	   351.00	   369.00	   363.00		GProbe Mitte Grid 010x011 Grid 020x021 
 
Minimum	   122.00	   167.00	   147.00	   183.00	   277.00	    85.00	   163.00	   120.00	    83.00	   329.00	   336.00	   351.00	 
Maximum	   151.00	   243.00	   201.00	   244.00	   298.00	    95.00	   179.00	   325.00	   127.00	   370.00	   386.00	   389.00	 
Average	   137.34	   203.88	   174.08	   212.78	   287.26	    88.32	   172.01	   144.14	   107.03	   352.30	   361.76	   367.86	 
Sigma  	     5.29	    26.37	    17.83	    11.84	     4.20	     1.81	     3.56	    21.51	    17.82	     8.78	     9.04	     7.49	 
"No. of data"   197 
 
Counting error(%) of X-ray intensities	      Group : 210830        	  Sample : 210830_0013_QNT  	 Page 	  1 	 
 
   No. 	   Mg    	   Si    	   Ca    	   P     	   Cr    	   K     	   Ti    	   Na    	   Al    	   Mn    	   Fe    	   Ni    	  Total  	Comment  
    1  	     3.05	     0.53	     2.12	     9.02	  1157.03	     1.17	     2.63	     2.03	     0.56	    28.31	     2.54	   300.00	  1508.99	GProbe Mitte Grid 010x011 Grid 020x021 
    2  	     3.03	     0.53	     2.12	     9.15	   300.00	     1.17	     2.66	     2.04	     0.55	    32.65	     2.53	   581.19	   937.62	GProbe Mitte Grid 010x011 Grid 020x021 
    4  	     3.04	     0.53	     2.11	     8.78	   280.67	     1.17	     2.62	     2.03	     0.55	    29.70	     2.54	   252.28	   586.02	GProbe Mitte Grid 010x011 Grid 020x021 
    5  	     3.06	     0.53	     2.12	     8.98	   300.00	     1.17	     2.64	     2.05	     0.55	    30.28	     2.54	   300.00	   653.92	GProbe Mitte Grid 010x011 Grid 020x021 
    7  	     3.04	     0.53	     2.11	     9.16	   189.80	     1.17	     2.62	     2.05	     0.55	    31.57	     2.52	   300.00	   545.12	GProbe Mitte Grid 010x011 Grid 020x021 
    8  	     3.01	     0.53	     2.10	     8.84	   419.46	     1.17	     2.59	     2.04	     0.55	    31.25	     2.51	  2845.39	  3319.44	GProbe Mitte Grid 010x011 Grid 020x021 
   10  	     3.04	     0.53	     2.11	     9.35	   300.00	     1.17	     2.61	     2.04	     0.55	    27.71	     2.51	   300.00	   651.62	GProbe Mitte Grid 010x011 Grid 020x021 
   11  	     3.04	     0.53	     2.12	     9.00	   300.00	     1.17	     2.61	     2.04	     0.55	    30.09	     2.53	   300.00	   653.68	GProbe Mitte Grid 010x011 Grid 020x021 
   13  	     3.03	     0.53	     2.11	     8.90	   697.94	     1.17	     2.60	     2.04	     0.55	    27.96	     2.52	   300.00	  1049.35	GProbe Mitte Grid 010x011 Grid 020x021 
   14  	     3.03	     0.53	     2.11	     9.22	   300.00	     1.17	     2.60	     2.03	     0.55	    28.76	     2.52	   300.00	   652.52	GProbe Mitte Grid 010x011 Grid 020x021 
   16  	     3.02	     0.53	     2.10	     8.98	   224.83	     1.17	     2.58	     2.03	     0.55	    29.06	     2.53	   300.00	   577.38	GProbe Mitte Grid 010x011 Grid 020x021 
   17  	     3.02	     0.52	     2.11	     8.92	   300.00	     1.17	     2.61	     2.04	     0.55	    23.96	     2.52	  3610.69	  3958.11	GProbe Mitte Grid 010x011 Grid 020x021 
   19  	     3.03	     0.53	     2.11	     9.01	   300.00	     1.17	     2.65	     2.03	     0.55	    25.26	     2.51	   300.00	   648.85	GProbe Mitte Grid 010x011 Grid 020x021 
   20  	     3.10	     0.53	     2.10	     9.08	   300.00	     1.17	     2.59	     2.04	     0.55	    29.79	     2.50	   568.04	   921.49	GProbe Mitte Grid 010x011 Grid 020x021 
   22  	     3.02	     0.52	     2.10	     9.01	   378.37	     1.17	     2.63	     2.04	     0.55	    27.15	     2.52	   300.00	   729.08	GProbe Mitte Grid 010x011 Grid 020x021 
   23  	     3.03	     0.52	     2.11	     9.16	   300.00	     1.17	     2.61	     2.02	     0.55	    32.19	     2.50	   229.61	   585.47	GProbe Mitte Grid 010x011 Grid 020x021 
   25  	     3.02	     0.52	     2.11	     8.98	   300.00	     1.16	     2.60	     2.05	     0.55	    27.19	     2.51	  2045.82	  2396.51	GProbe Mitte Grid 010x011 Grid 020x021 
   26  	     3.03	     0.52	     2.09	     8.79	   594.96	     1.17	     2.60	     2.03	     0.55	    29.66	     2.53	   300.00	   947.93	GProbe Mitte Grid 010x011 Grid 020x021 
   28  	     3.06	     0.52	     2.11	     9.30	   300.00	     1.16	     2.60	     2.03	     0.55	    31.64	     2.51	   300.00	   655.48	GProbe Mitte Grid 010x011 Grid 020x021 
   29  	     3.04	     0.52	     2.09	     9.12	   300.00	     1.16	     2.60	     2.03	     0.55	    36.23	     2.51	   423.14	   782.99	GProbe Mitte Grid 010x011 Grid 020x021 
   31  	     3.04	     0.52	     2.10	     8.81	   300.00	     1.16	     2.59	     2.04	     0.55	    29.18	     2.49	   300.00	   652.48	GProbe Mitte Grid 010x011 Grid 020x021 
   32  	     3.03	     0.52	     2.10	     9.13	   300.00	     1.17	     2.59	     2.02	     0.55	    26.33	     2.52	   391.21	   741.17	GProbe Mitte Grid 010x011 Grid 020x021 
   34  	     3.03	     0.52	     2.11	     8.77	  2983.57	     1.17	     2.59	     2.03	     0.55	    27.93	     2.52	   187.89	  3222.68	GProbe Mitte Grid 010x011 Grid 020x021 
   35  	     3.02	     0.52	     2.11	     9.03	   300.00	     1.16	     2.61	     2.03	     0.55	    29.53	     2.48	   411.32	   764.36	GProbe Mitte Grid 010x011 Grid 020x021 
   37  	     3.00	     0.52	     2.07	     9.03	   300.00	     1.16	     2.56	     2.02	     0.55	    30.87	     2.49	   227.61	   581.88	GProbe Mitte Grid 010x011 Grid 020x021 
   38  	     3.00	     0.52	     2.09	     9.01	   144.08	     1.16	     2.59	     2.01	     0.55	    32.24	     2.49	   425.16	   624.90	GProbe Mitte Grid 010x011 Grid 020x021 
   40  	     3.01	     0.52	     2.09	     9.03	  1180.08	     1.15	     2.61	     2.02	     0.55	    24.29	     2.50	   300.00	  1527.85	GProbe Mitte Grid 010x011 Grid 020x021 
   41  	     3.05	     0.52	     2.08	     9.01	   192.77	     1.15	     2.57	     2.02	     0.55	    29.35	     2.48	   300.00	   545.55	GProbe Mitte Grid 010x011 Grid 020x021 
   43  	     3.00	     0.52	     2.08	     8.95	 10585.10	     1.16	     2.61	     2.03	     0.55	    29.89	     2.49	   232.65	 10871.03	GProbe Mitte Grid 010x011 Grid 020x021 
   44  	     3.03	     0.52	     2.09	     9.15	   300.00	     1.15	     2.59	     2.04	     0.55	    29.69	     2.49	   300.00	   653.30	GProbe Mitte Grid 010x011 Grid 020x021 
   46  	     2.99	     0.52	     2.09	     8.79	   570.92	     1.15	     2.59	     2.03	     0.55	    28.30	     2.48	   300.00	   922.41	GProbe Mitte Grid 010x011 Grid 020x021 
   47  	     2.99	     0.52	     2.07	     8.85	   300.00	     1.15	     2.57	     2.03	     0.54	    27.89	     2.48	   300.00	   651.09	GProbe Mitte Grid 010x011 Grid 020x021 
   49  	     2.97	     0.52	     2.07	     8.93	   705.33	     1.16	     2.56	     2.03	     0.54	    30.37	     2.47	   300.00	  1058.95	GProbe Mitte Grid 010x011 Grid 020x021 
   50  	     3.02	     0.52	     2.09	     9.13	   134.34	     1.15	     2.61	     1.91	     0.55	    31.56	     2.47	  2449.42	  2638.77	GProbe Mitte Grid 010x011 Grid 020x021 
   52  	     3.04	     0.52	     2.08	     8.72	   300.00	     1.15	     2.62	     1.94	     0.55	    28.29	     2.51	   274.37	   625.79	GProbe Mitte Grid 010x011 Grid 020x021 
   53  	     3.04	     0.52	     2.08	     8.87	   300.00	     1.15	     2.60	     1.93	     0.55	    29.68	     2.51	   300.00	   652.93	GProbe Mitte Grid 010x011 Grid 020x021 
   55  	     3.01	     0.52	     2.09	     9.10	   300.00	     1.15	     2.64	     1.92	     0.55	    32.31	     2.51	   300.00	   655.80	GProbe Mitte Grid 010x011 Grid 020x021 
   56  	     3.00	     0.52	     2.07	     8.52	   671.38	     1.15	     2.61	     1.92	     0.55	    27.66	     2.50	   300.00	  1021.88	GProbe Mitte Grid 010x011 Grid 020x021 
   58  	     3.03	     0.52	     2.08	     8.99	   300.00	     1.15	     2.59	     1.92	     0.55	    30.87	     2.51	   300.00	   654.21	GProbe Mitte Grid 010x011 Grid 020x021 
   59  	     3.00	     0.52	     2.09	     8.88	   444.88	     1.15	     2.61	     1.92	     0.55	    28.11	     2.49	   693.82	  1190.02	GProbe Mitte Grid 010x011 Grid 020x021 
   61  	     3.00	     0.52	     2.08	     9.17	   300.00	     1.15	     2.61	     1.93	     0.55	    27.84	     2.50	   344.02	   695.37	GProbe Mitte Grid 010x011 Grid 020x021 
   62  	     3.02	     0.52	     2.08	     8.59	   331.35	     1.15	     2.62	     1.92	     0.55	    28.73	     2.49	   300.00	   683.02	GProbe Mitte Grid 010x011 Grid 020x021 
   64  	     3.03	     0.52	     2.08	     8.90	   300.00	     1.15	     2.59	     1.92	     0.55	    30.08	     2.50	  2008.71	  2362.03	GProbe Mitte Grid 010x011 Grid 020x021 
   65  	     3.02	     0.52	     2.08	     9.13	  2366.54	     1.15	     2.60	     1.92	     0.55	    26.22	     2.51	   300.00	  2716.24	GProbe Mitte Grid 010x011 Grid 020x021 
   67  	     3.03	     0.52	     2.08	     8.75	   300.00	     1.15	     2.59	     1.92	     0.55	    24.60	     2.51	   263.89	   611.59	GProbe Mitte Grid 010x011 Grid 020x021 
   68  	     3.02	     0.52	     2.08	     9.12	   238.86	     1.15	     2.59	     1.92	     0.55	    29.09	     2.48	   975.85	  1267.23	GProbe Mitte Grid 010x011 Grid 020x021 
